Link: ;https://www.instagram.com/p/CPnHGtfH9Um/
Id/Reply-Id;User;Comment;Date;Likes;Reply To CommentId
1;majaharipriya;Schön. Auch von innen.;2021-06-11T21:54:14.000Z;0;-
2;cosima089;Hat Sophie Scholl tatsächlich mit ihrem Aussehen gehadert, oder vergleicht sie sich hier mit dem arischen Stereotyp? Also weil sie halt nicht groß und blond ist.;2021-06-10T17:37:59.000Z;7 likes;-
2-1;ichbinsophiescholl;#teamsoffer @cosima089 Liebe Cosima, Sophie selbst haderte eher weniger mit ihrem Äußeren, zumindest geht dies nicht in besonderem Maße aus ihren Briefen oder Tagebüchern hervor. Vielmehr war es ihr Umfeld, welches oftmals negativ auf sie reagierte, weil sie (vor allem in jüngeren Jahren) nicht immer der typischen weiblichen Norm der damaligen Zeit entsprach. Liebe Grüße!;2021-06-10T18:34:23.000Z;22 likes;2
2-2;cosima089;@ichbinsophiescholl danke für die Antwort! Einige Fotos zeigen Sophie tatsächlich sogar mit Kurzhaarschnitt.;2021-06-10T18:51:23.000Z;1 like;2
3;miss.rotfuchs;Und 70 Jahre später ist es modern auf Fotos zu gucken, als hätte man einen Schlaganfall 🙈 da finde ich das um Welten besser.;2021-06-09T20:51:23.000Z;1 like;-
4;same.picofspongebobeveryday;Oiiiiii;2021-06-09T09:34:26.000Z;1 like;-
5;whoisejones;mutig, sophie ❤️;2021-06-08T10:49:29.000Z;0;-
6;whoisejones;mutig, sophie ❤️;2021-06-08T10:34:52.000Z;0;-
7;wpwnwowb4ekwuei;Let them know how tired you are of their shit, that's the spirit!;2021-06-07T10:56:30.000Z;1 like;-
8;jesbenzac8;👏so ist es richtig - niemals verstellen und schon gar nicht für andere - hast du gut gemacht, Sophie;2021-06-07T10:29:56.000Z;0;-
9;heinzsson;Fokussiert und scharf im Geist 💪💪💪;2021-06-07T04:06:11.000Z;0;-
10;heinzsson;Fokussiert und scharf im Geist 💪💪💪;2021-06-07T04:05:00.000Z;0;-
11;_human_made_of_love;Liebe Sophie! Danke für dein Mut deine Tapfbarkeit deine Leidenschaft. Du bist eine Weltveränderin und ein Vorbild ....und icj frage mich was Du zum #sheikhjarrah Besatzung sagst? Was würdest du denn heute machen ? Wie würdest du Dich den Mantel der Gleichgültigkeit zerreisen und etwas gegen die ilegale Besatzung und Entfremdung von Häusern und die systematische Verletzung der Menschenrecheten seitens der israelischen Staates tun? 🔥;2021-06-06T13:25:31.000Z;0;-
12;heidelindeviba;🙌;2021-06-05T10:21:50.000Z;0;-
13;anna_s1209;Sophie du bist perfekt!!🙌❤️;2021-06-05T08:34:41.000Z;0;-
14;silkewagner82;Lächeln könntest du aber schon. Tut auch nicht weh ❤️;2021-06-04T21:25:22.000Z;0;-
15;heike.thelen;❤️❤️❤️❤️;2021-06-04T18:25:01.000Z;0;-
16;sasuke_chang;😍😍😍;2021-06-04T16:14:18.000Z;0;-
17;uwe.stenzel.10;War ein junges Mädchen das meinen ganzen Respekt hat sehr mutig;2021-06-04T13:28:46.000Z;0;-
18;rickyjank;"Ich verstehe das hier nicht so ganz…
Ist das ein Kunstprojekt oder ist das aus den Tagebüchern von Sophie Scholl?";2021-06-04T12:26:46.000Z;8 likes;-
